File:         02packages.details.txt
URL:          http://www.perl.com/CPAN/modules/02packages.details.txt
Description:  Package names found in cpanfile.snapshot
Columns:      package name, version, path
Intended-For: Automated fetch routines, namespace documentation.
Written-By:   Carton v1.0.28
Line-Count:   2300
Last-Updated: Mon Nov 21 07:16:23 2022

Apache::LogFormat::Compiler        0.36  K/KA/KAZEBURO/Apache-LogFormat-Compiler-0.36.tar.gz
App::bmkpasswd                 2.012002  A/AV/AVENJ/App-bmkpasswd-2.012002.tar.gz
AppConfig                          1.71  N/NE/NEILB/AppConfig-1.71.tar.gz
AppConfig::Args                    1.71  N/NE/NEILB/AppConfig-1.71.tar.gz
AppConfig::CGI                     1.71  N/NE/NEILB/AppConfig-1.71.tar.gz
AppConfig::File                    1.71  N/NE/NEILB/AppConfig-1.71.tar.gz
AppConfig::Getopt                  1.71  N/NE/NEILB/AppConfig-1.71.tar.gz
AppConfig::State                   1.71  N/NE/NEILB/AppConfig-1.71.tar.gz
AppConfig::Sys                     1.71  N/NE/NEILB/AppConfig-1.71.tar.gz
Authen::DecHpwd                   2.007  Z/ZE/ZEFRAM/Authen-DecHpwd-2.007.tar.gz
Authen::OATH                   2.000001  O/OA/OALDERS/Authen-OATH-2.0.1.tar.gz
Authen::Passphrase                0.008  Z/ZE/ZEFRAM/Authen-Passphrase-0.008.tar.gz
Authen::Passphrase::AcceptAll     0.008  Z/ZE/ZEFRAM/Authen-Passphrase-0.008.tar.gz
Authen::Passphrase::BigCrypt      0.008  Z/ZE/ZEFRAM/Authen-Passphrase-0.008.tar.gz
Authen::Passphrase::BlowfishCrypt 0.008  Z/ZE/ZEFRAM/Authen-Passphrase-0.008.tar.gz
Authen::Passphrase::Clear         0.008  Z/ZE/ZEFRAM/Authen-Passphrase-0.008.tar.gz
Authen::Passphrase::Crypt16       0.008  Z/ZE/ZEFRAM/Authen-Passphrase-0.008.tar.gz
Authen::Passphrase::DESCrypt      0.008  Z/ZE/ZEFRAM/Authen-Passphrase-0.008.tar.gz
Authen::Passphrase::EggdropBlowfish 0.008  Z/ZE/ZEFRAM/Authen-Passphrase-0.008.tar.gz
Authen::Passphrase::LANManager    0.008  Z/ZE/ZEFRAM/Authen-Passphrase-0.008.tar.gz
Authen::Passphrase::LANManagerHalf 0.008  Z/ZE/ZEFRAM/Authen-Passphrase-0.008.tar.gz
Authen::Passphrase::MD5Crypt      0.008  Z/ZE/ZEFRAM/Authen-Passphrase-0.008.tar.gz
Authen::Passphrase::MySQL323      0.008  Z/ZE/ZEFRAM/Authen-Passphrase-0.008.tar.gz
Authen::Passphrase::MySQL41       0.008  Z/ZE/ZEFRAM/Authen-Passphrase-0.008.tar.gz
